label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-256,256,shared/pipe.arb,arb,882,,,,,,,,,,,
shared-80mhz-probed,b2b-256,256,shared/pipe.dec_in,handshake,882,20,15,421,426,0.5714285714285714,1.75,0.022675736961451247,,0.017006802721088437,0.47732426303854875,
shared-80mhz-probed,b2b-256,256,shared/pipe.dec_out,handshake,882,20,6,822,34,0.7692307692307693,1.3,0.022675736961451247,,0.006802721088435374,0.9319727891156463,
shared-80mhz-probed,b2b-256,256,shared/pipe.enc_in,handshake,882,20,4,421,437,0.8333333333333334,1.2,0.022675736961451247,,0.0045351473922902496,0.47732426303854875,
shared-80mhz-probed,b2b-256,256,shared/pipe.enc_out,handshake,882,20,416,398,48,0.045871559633027525,21.8,0.022675736961451247,,0.47165532879818595,0.4512471655328798,
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.axis_in,handshake,2293,256,351,1600,86,0.42174629324546953,2.37109375,0.11164413432184911,1.7863061491495857,0.1530745747928478,0.6977758395115569,
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.axis_out,handshake,2293,256,0,2037,0,1.0,1.0,0.11164413432184911,1.7863061491495857,0.0,0.888355865678151,
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.from_pipeline,handshake,2293,68,104,2043,78,0.3953488372093023,2.5294117647058822,0.02965547317924117,,0.0453554295682512,0.8909725250763192,
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.in_state,state,2293,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.key_out,handshake,2293,4,0,474,1815,1.0,1.0,0.0017444395987788923,,0.0,0.20671609245529873,
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.out_state,state,2293,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-1024,1024,decrypt/chacha20.to_pipeline,handshake,2293,68,530,517,1178,0.11371237458193979,8.794117647058824,0.02965547317924117,,0.23113824683820322,0.22546881814217182,
shared-80mhz-probed,b2b-1024,1024,decrypt/poly1305.data_in,handshake,2293,268,1739,199,87,0.13353263577478824,7.4888059701492535,0.11687745311818579,1.8700392498909726,0.7583951155691234,0.0867858700392499,
shared-80mhz-probed,b2b-1024,1024,decrypt/poly1305.from_compute,handshake,2293,268,0,2025,0,1.0,1.0,0.11687745311818579,,0.0,0.8831225468818142,
shared-80mhz-probed,b2b-1024,1024,decrypt/poly1305.fsm,state,2293,,,,,,,,,,,FINISH_ITER
shared-80mhz-probed,b2b-1024,1024,decrypt/poly1305.key_in,handshake,2293,4,0,474,1815,1.0,1.0,0.0017444395987788923,,0.0,0.20671609245529873,
shared-80mhz-probed,b2b-1024,1024,decrypt/poly1305.tag_out,handshake,2293,4,0,48,2241,1.0,1.0,0.0017444395987788923,,0.0,0.020933275185346708,
